cleaned_transcriptions,bpe_8000,unigram_2000,human,char_8000
ni14-xi1xi1 tin3 nda3-ka'3mi3 tu3ku3=na(2)=e2 tan3,▁ni 14- xi 1 xi 1 ▁tin 3 ▁nda 3- ka '3 mi 3 ▁tu 3 ku 3= na (2)= e 2 ▁tan 3,▁ni 14- xi 1 xi 1 ▁tin 3 ▁nda 3- ka '3 mi 3 ▁tu 3 ku 3= na (2)= e 2 ▁tan 3,ni14xi1xi1tin3nda3ka'3mi3tu3ku3 na(2) e2tan3,▁ n i 1 4 - x i 1 x i 1 ▁ t i n 3 ▁ n d a 3 - k a ' 3 m i 3 ▁ t u 3 k u 3 = n a ( 2 ) = e 2 ▁ t a n 3
"i3kan4 tan3 ni1-ndi'3i3 nda13-ka'3mi3=na(2)=e2 chi'3i3=na2 tan3, bi3tin3 ya1 tiem4pu2 a1chi1 ndi4 ni3na3 mi3i4=a2 ya1 ji'4in4 ya1ta4 nda'3a4 ba3 xi4tu(3)=e4 xa'1a4 i3tu2=e4,","▁i 3 kan 4 ▁tan 3 ▁ni 1- ndi '3 i 3 ▁nda 13- ka '3 mi 3= na (2)= e 2 ▁chi '3 i 3= na 2 ▁tan 3, ▁bi 3 tin 3 ▁ya 1 ▁tiem 4 pu 2 ▁a 1 chi 1 ▁ndi 4 ▁ni 3 na 3 ▁mi 3 i 4= a 2 ▁ya 1 ▁ji '4 in 4 ▁ya 1 ta 4 ▁nda '3 a 4 ▁ba 3 ▁xi 4 tu (3)= e 4 ▁xa '1 a 4 ▁i 3 tu 2= e 4,","▁i 3 kan 4 ▁tan 3 ▁ni 1- ndi '3 i 3 ▁nda 13- ka '3 mi 3= na (2)= e 2 ▁chi '3 i 3= na 2 ▁tan 3, ▁bi 3 tin 3 ▁ya 1 ▁tiem 4 pu 2 ▁a 1 chi 1 ▁ndi 4 ▁ni 3 na 3 ▁mi 3 i 4= a 2 ▁ya 1 ▁ji '4 in 4 ▁ya 1 ta 4 ▁nda '3 a 4 ▁ba 3 ▁xi 4 tu (3)= e 4 ▁xa '1 a 4 ▁i 3 tu 2= e 4,","i3kan4tan3ni1ndi'3i3nda13ka'3mi3 na(2) e2chi'3i3 na2tan3,bi3tin3ya1tiem4pu2a1chi1ndi4ni3na3mi3i4 a2ya1ji'4in4ya1ta4nda'3a4ba3xi4tu(3) e4xa'1a4i3tu2 e4,","▁ i 3 k a n 4 ▁ t a n 3 ▁ n i 1 - n d i ' 3 i 3 ▁ n d a 1 3 - k a ' 3 m i 3 = n a ( 2 ) = e 2 ▁ c h i ' 3 i 3 = n a 2 ▁ t a n 3 , ▁ b i 3 t i n 3 ▁ y a 1 ▁ t i e m 4 p u 2 ▁ a 1 c h i 1 ▁ n d i 4 ▁ n i 3 n a 3 ▁ m i 3 i 4 = a 2 ▁ y a 1 ▁ j i ' 4 i n 4 ▁ y a 1 t a 4 ▁ n d a ' 3 a 4 ▁ b a 3 ▁ x i 4 t u ( 3 ) = e 4 ▁ x a ' 1 a 4 ▁ i 3 t u 2 = e 4 ,"
chi'4i(4)=o4=ya2 tan3 ku3tu(3)=e4 ji'4in4 nda'3a(4)=e4 xa'1a4=e2 ndi4 u'1bi1=ni42 ba42 kan4 ndi4 i4xa14bi2=ni42=o4 bi3tin3 ndi4 ba14sa3 ka1 sa3kan4 tin3 ndi4 ni3na3 mi3i4 ya1 ko4ndo3,▁chi '4 i (4)= o 4= ya 2 ▁tan 3 ▁ku 3 tu (3)= e 4 ▁ji '4 in 4 ▁nda '3 a (4)= e 4 ▁xa '1 a 4= e 2 ▁ndi 4 ▁u '1 bi 1= ni 42 ▁ba 42 ▁kan 4 ▁ndi 4 ▁i 4 xa 14 bi 2= ni 42= o 4 ▁bi 3 tin 3 ▁ndi 4 ▁ba 14 sa 3 ▁ka 1 ▁sa 3 kan 4 ▁tin 3 ▁ndi 4 ▁ni 3 na 3 ▁mi 3 i 4 ▁ya 1 ▁ko 4 ndo 3,▁chi '4 i (4)= o 4= ya 2 ▁tan 3 ▁ku 3 tu (3)= e 4 ▁ji '4 in 4 ▁nda '3 a (4)= e 4 ▁xa '1 a 4= e 2 ▁ndi 4 ▁u '1 bi 1= ni 4 2 ▁ba 4 2 ▁kan 4 ▁ndi 4 ▁i 4 xa 1 4 bi 2= ni 4 2= o 4 ▁bi 3 tin 3 ▁ndi 4 ▁ba 1 4 sa 3 ▁ka 1 ▁sa 3 kan 4 ▁tin 3 ▁ndi 4 ▁ni 3 na 3 ▁mi 3 i 4 ▁ya 1 ▁ko 4 ndo 3,chi'4i(4) o4 ya2tan3ku3tu(3) e4ji'4in4nda'3a(4) e4xa'1a4 e2ndi4u'1bi1 ni42ba42kan4ndi4i4xa14bi2 ni42 o4bi3tin3ndi4ba14sa3ka1sa3kan4tin3ndi4ni3na3mi3i4ya1ko4ndo3,▁ c h i ' 4 i ( 4 ) = o 4 = y a 2 ▁ t a n 3 ▁ k u 3 t u ( 3 ) = e 4 ▁ j i ' 4 i n 4 ▁ n d a ' 3 a ( 4 ) = e 4 ▁ x a ' 1 a 4 = e 2 ▁ n d i 4 ▁ u ' 1 b i 1 = n i 4 2 ▁ b a 4 2 ▁ k a n 4 ▁ n d i 4 ▁ i 4 x a 1 4 b i 2 = n i 4 2 = o 4 ▁ b i 3 t i n 3 ▁ n d i 4 ▁ b a 1 4 s a 3 ▁ k a 1 ▁ s a 3 k a n 4 ▁ t i n 3 ▁ n d i 4 ▁ n i 3 n a 3 ▁ m i 3 i 4 ▁ y a 1 ▁ k o 4 n d o 3
"líquido ba3 chi3ka2=e4 xa'1a4=e2 tin3, nda4tu3 ka1=e4 na4 ku3un3 ka1 ba3 sa1bi4 nda1 ja1 u1na1 ki1bi4 ku4un4=ra4 sa3kan4 ki3xa3a(4)=e4 chi'3i(3)=o4 ndi4","▁lí q uido ▁ba 3 ▁chi 3 ka 2= e 4 ▁xa '1 a 4= e 2 ▁tin 3, ▁nda 4 tu 3 ▁ka 1= e 4 ▁na 4 ▁ku 3 un 3 ▁ka 1 ▁ba 3 ▁sa 1 bi 4 ▁nda 1 ▁ja 1 ▁u 1 na 1 ▁ki 1 bi 4 ▁ku 4 un 4= ra 4 ▁sa 3 kan 4 ▁ki 3 xa 3 a (4)= e 4 ▁chi '3 i (3)= o 4 ▁ndi 4","▁lí q uido ▁ba 3 ▁chi 3 ka 2= e 4 ▁xa '1 a 4= e 2 ▁tin 3, ▁nda 4 tu 3 ▁ka 1= e 4 ▁na 4 ▁ku 3 un 3 ▁ka 1 ▁ba 3 ▁sa 1 bi 4 ▁nda 1 ▁ja 1 ▁u 1 na 1 ▁ki 1 bi 4 ▁ku 4 un 4= ra 4 ▁sa 3 kan 4 ▁ki 3 xa 3 a (4)= e 4 ▁chi '3 i (3)= o 4 ▁ndi 4","líquidoba3chi3ka2 e4xa'1a4 e2tin3,nda4tu3ka1 e4na4ku3un3ka1ba3sa1bi4nda1ja1u1na1ki1bi4ku4un4 ra4sa3kan4ki3xa3a(4) e4chi'3i(3) o4ndi4","▁ l í q u i d o ▁ b a 3 ▁ c h i 3 k a 2 = e 4 ▁ x a ' 1 a 4 = e 2 ▁ t i n 3 , ▁ n d a 4 t u 3 ▁ k a 1 = e 4 ▁ n a 4 ▁ k u 3 u n 3 ▁ k a 1 ▁ b a 3 ▁ s a 1 b i 4 ▁ n d a 1 ▁ j a 1 ▁ u 1 n a 1 ▁ k i 1 b i 4 ▁ k u 4 u n 4 = r a 4 ▁ s a 3 k a n 4 ▁ k i 3 x a 3 a ( 4 ) = e 4 ▁ c h i ' 3 i ( 3 ) = o 4 ▁ n d i 4"
"ni1-ka3na3 ndi'3i3 ku'1u1 tan3 o4ra2 ni1-ka3na3 ndi'3i3 ku'1u1 kan4 tan3 ni1-chi'3i(3)=o4=ya2 tan3, tan3 ja1 nda4ndu'2u(4)=e4 chi3ka2=e4 ta1tan4 ndi1ku1nda42 yu3kun2 yu3kun2 kwa'1an(1)=e4 chi3ka2=e4 ta1tan4, ni1-ndi'3i3 chi3ka2=e4 ta1tan4 ña1a4 tan3 xa143 ba1xi3 ndu4ta(1)=e1 ña1a4 ndi4 ja1 mi4i4 ya4nda3 ndu4ta(1)=e1.","▁ni 1- ka 3 na 3 ▁ndi '3 i 3 ▁ku '1 u 1 ▁tan 3 ▁o 4 ra 2 ▁ni 1- ka 3 na 3 ▁ndi '3 i 3 ▁ku '1 u 1 ▁kan 4 ▁tan 3 ▁ni 1- chi '3 i (3)= o 4= ya 2 ▁tan 3, ▁tan 3 ▁ja 1 ▁nda 4 ndu '2 u (4)= e 4 ▁chi 3 ka 2= e 4 ▁ta 1 tan 4 ▁ndi 1 ku 1 nda 42 ▁yu 3 kun 2 ▁yu 3 kun 2 ▁kwa '1 an (1)= e 4 ▁chi 3 ka 2= e 4 ▁ta 1 tan 4, ▁ni 1- ndi '3 i 3 ▁chi 3 ka 2= e 4 ▁ta 1 tan 4 ▁ña 1 a 4 ▁tan 3 ▁xa 143 ▁ba 1 xi 3 ▁ndu 4 ta (1)= e 1 ▁ña 1 a 4 ▁ndi 4 ▁ja 1 ▁mi 4 i 4 ▁ya 4 nda 3 ▁ndu 4 ta (1)= e 1.","▁ni 1- ka 3 na 3 ▁ndi '3 i 3 ▁ku '1 u 1 ▁tan 3 ▁o 4 ra 2 ▁ni 1- ka 3 na 3 ▁ndi '3 i 3 ▁ku '1 u 1 ▁kan 4 ▁tan 3 ▁ni 1- chi '3 i (3)= o 4= ya 2 ▁tan 3, ▁tan 3 ▁ja 1 ▁nda 4 ndu ' 2 u (4)= e 4 ▁chi 3 ka 2= e 4 ▁ta 1 tan 4 ▁ndi 1 ku 1 nda 4 2 ▁yu 3 kun 2 ▁yu 3 kun 2 ▁kwa '1 an (1)= e 4 ▁chi 3 ka 2= e 4 ▁ta 1 tan 4, ▁ni 1- ndi '3 i 3 ▁chi 3 ka 2= e 4 ▁ta 1 tan 4 ▁ña 1 a 4 ▁tan 3 ▁xa 143 ▁ba 1 xi 3 ▁ndu 4 ta (1)= e 1 ▁ña 1 a 4 ▁ndi 4 ▁ja 1 ▁mi 4 i 4 ▁ya 4 nda 3 ▁ndu 4 ta (1)= e 1.","ni1ka3na3ndi'3i3ku'1u1tan3o4ra2ni1ka3na3ndi'3i3ku'1u1kan4tan3ni1chi'3i(3) o4 ya2tan3,tan3ja1nda4ndu'2u(4) e4chi3ka2 e4ta1tan4ndi1ku1nda42yu3kun2yu3kun2kwa'1an(1) e4chi3ka2 e4ta1tan4,ni1ndi'3i3chi3ka2 e4ta1tan4ña1a4tan3xa143ba1xi3ndu4ta(1) e1ña1a4ndi4ja1mi4i4ya4nda3ndu4ta(1) e1.","▁ n i 1 - k a 3 n a 3 ▁ n d i ' 3 i 3 ▁ k u ' 1 u 1 ▁ t a n 3 ▁ o 4 r a 2 ▁ n i 1 - k a 3 n a 3 ▁ n d i ' 3 i 3 ▁ k u ' 1 u 1 ▁ k a n 4 ▁ t a n 3 ▁ n i 1 - c h i ' 3 i ( 3 ) = o 4 = y a 2 ▁ t a n 3 , ▁ t a n 3 ▁ j a 1 ▁ n d a 4 n d u ' 2 u ( 4 ) = e 4 ▁ c h i 3 k a 2 = e 4 ▁ t a 1 t a n 4 ▁ n d i 1 k u 1 n d a 4 2 ▁ y u 3 k u n 2 ▁ y u 3 k u n 2 ▁ k w a ' 1 a n ( 1 ) = e 4 ▁ c h i 3 k a 2 = e 4 ▁ t a 1 t a n 4 , ▁ n i 1 - n d i ' 3 i 3 ▁ c h i 3 k a 2 = e 4 ▁ t a 1 t a n 4 ▁ ñ a 1 a 4 ▁ t a n 3 ▁ x a 1 4 3 ▁ b a 1 x i 3 ▁ n d u 4 t a ( 1 ) = e 1 ▁ ñ a 1 a 4 ▁ n d i 4 ▁ j a 1 ▁ m i 4 i 4 ▁ y a 4 n d a 3 ▁ n d u 4 t a ( 1 ) = e 1 ."
U1ni1 semana tan3 ja1 tu3ku3 ni3 ba1xi3 tu3ku3 ku'1u1 i3kan4 ndi4 ja1 ta1tan4 kwe4nda2 ku'1u1 kan4 chi3ka2=e4 nu14u(3)=a2 ka'3ni(4)=o4=e2 kan4 tan3,▁ U 1 ni 1 ▁semana ▁tan 3 ▁ja 1 ▁tu 3 ku 3 ▁ni 3 ▁ba 1 xi 3 ▁tu 3 ku 3 ▁ku '1 u 1 ▁i 3 kan 4 ▁ndi 4 ▁ja 1 ▁ta 1 tan 4 ▁kwe 4 nda 2 ▁ku '1 u 1 ▁kan 4 ▁chi 3 ka 2= e 4 ▁nu 14 u (3)= a 2 ▁ka '3 ni (4)= o 4= e 2 ▁kan 4 ▁tan 3,▁ U 1 ni 1 ▁semana ▁tan 3 ▁ja 1 ▁tu 3 ku 3 ▁ni 3 ▁ba 1 xi 3 ▁tu 3 ku 3 ▁ku '1 u 1 ▁i 3 kan 4 ▁ndi 4 ▁ja 1 ▁ta 1 tan 4 ▁kwe 4 nda 2 ▁ku '1 u 1 ▁kan 4 ▁chi 3 ka 2= e 4 ▁nu 1 4 u (3)= a 2 ▁ka '3 ni (4)= o 4= e 2 ▁kan 4 ▁tan 3,U1ni1semanatan3ja1tu3ku3ni3ba1xi3tu3ku3ku'1u1i3kan4ndi4ja1ta1tan4kwe4nda2ku'1u1kan4chi3ka2 e4nu14u(3) a2ka'3ni(4) o4 e2kan4tan3,▁ U 1 n i 1 ▁ s e m a n a ▁ t a n 3 ▁ j a 1 ▁ t u 3 k u 3 ▁ n i 3 ▁ b a 1 x i 3 ▁ t u 3 k u 3 ▁ k u ' 1 u 1 ▁ i 3 k a n 4 ▁ n d i 4 ▁ j a 1 ▁ t a 1 t a n 4 ▁ k w e 4 n d a 2 ▁ k u ' 1 u 1 ▁ k a n 4 ▁ c h i 3 k a 2 = e 4 ▁ n u 1 4 u ( 3 ) = a 2 ▁ k a ' 3 n i ( 4 ) = o 4 = e 2 ▁ k a n 4 ▁ t a n 3
i1xa43 xi4kwe4nda2 tu3ku(3)=e4=e2 ndi4 ja1 ku4-ba'1a3=e2 chi3nde3e(3)=o4 abono xa'1a4=e2 chi3nde3e(3)=o4 abono xa'1a4=e2 tan3,▁i 1 xa 43 ▁xi 4 kwe 4 nda 2 ▁tu 3 ku (3)= e 4= e 2 ▁ndi 4 ▁ja 1 ▁ku 4- ba '1 a 3= e 2 ▁chi 3 nde 3 e (3)= o 4 ▁abono ▁xa '1 a 4= e 2 ▁chi 3 nde 3 e (3)= o 4 ▁abono ▁xa '1 a 4= e 2 ▁tan 3,▁i 1 xa 4 3 ▁xi 4 kwe 4 nda 2 ▁tu 3 ku (3)= e 4= e 2 ▁ndi 4 ▁ja 1 ▁ku 4- ba '1 a 3= e 2 ▁chi 3 nde 3 e (3)= o 4 ▁abono ▁xa '1 a 4= e 2 ▁chi 3 nde 3 e (3)= o 4 ▁abono ▁xa '1 a 4= e 2 ▁tan 3,i1xa43xi4kwe4nda2tu3ku(3) e4 e2ndi4ja1ku4ba'1a3 e2chi3nde3e(3) o4abonoxa'1a4 e2chi3nde3e(3) o4abonoxa'1a4 e2tan3,▁ i 1 x a 4 3 ▁ x i 4 k w e 4 n d a 2 ▁ t u 3 k u ( 3 ) = e 4 = e 2 ▁ n d i 4 ▁ j a 1 ▁ k u 4 - b a ' 1 a 3 = e 2 ▁ c h i 3 n d e 3 e ( 3 ) = o 4 ▁ a b o n o ▁ x a ' 1 a 4 = e 2 ▁ c h i 3 n d e 3 e ( 3 ) = o 4 ▁ a b o n o ▁ x a ' 1 a 4 = e 2 ▁ t a n 3
"ndi'13i3 chi3nde3e(3)=o4 abono xa'1a4=e2 ja1 tu3ku3 ba3 ba1xi3 ku'1u1 a1chi1 ndi4 ku4u(4)=a2 sa4bi4 ndi4 ku4un4 sa1bi4 tan3 nu4mi24 ba1xi3 ka3na(3)=e3, tu3ku3 ni3 sa3kan4 ji4tu(3)=e4 xa'1a4=e2 ji'4in4 líquido.","▁ndi '13 i 3 ▁chi 3 nde 3 e (3)= o 4 ▁abono ▁xa '1 a 4= e 2 ▁ja 1 ▁tu 3 ku 3 ▁ba 3 ▁ba 1 xi 3 ▁ku '1 u 1 ▁a 1 chi 1 ▁ndi 4 ▁ku 4 u (4)= a 2 ▁sa 4 bi 4 ▁ndi 4 ▁ku 4 un 4 ▁sa 1 bi 4 ▁tan 3 ▁nu 4 mi 24 ▁ba 1 xi 3 ▁ka 3 na (3)= e 3, ▁tu 3 ku 3 ▁ni 3 ▁sa 3 kan 4 ▁ji 4 tu (3)= e 4 ▁xa '1 a 4= e 2 ▁ji '4 in 4 ▁lí q uido .","▁ndi '1 3 i 3 ▁chi 3 nde 3 e (3)= o 4 ▁abono ▁xa '1 a 4= e 2 ▁ja 1 ▁tu 3 ku 3 ▁ba 3 ▁ba 1 xi 3 ▁ku '1 u 1 ▁a 1 chi 1 ▁ndi 4 ▁ku 4 u (4)= a 2 ▁sa 4 bi 4 ▁ndi 4 ▁ku 4 un 4 ▁sa 1 bi 4 ▁tan 3 ▁nu 4 mi 2 4 ▁ba 1 xi 3 ▁ka 3 na (3)= e 3, ▁tu 3 ku 3 ▁ni 3 ▁sa 3 kan 4 ▁ji 4 tu (3)= e 4 ▁xa '1 a 4= e 2 ▁ji '4 in 4 ▁lí q uido .","ndi'13i3chi3nde3e(3) o4abonoxa'1a4 e2ja1tu3ku3ba3ba1xi3ku'1u1a1chi1ndi4ku4u(4) a2sa4bi4ndi4ku4un4sa1bi4tan3nu4mi24ba1xi3ka3na(3) e3,tu3ku3ni3sa3kan4ji4tu(3) e4xa'1a4 e2ji'4in4líquido.","▁ n d i ' 1 3 i 3 ▁ c h i 3 n d e 3 e ( 3 ) = o 4 ▁ a b o n o ▁ x a ' 1 a 4 = e 2 ▁ j a 1 ▁ t u 3 k u 3 ▁ b a 3 ▁ b a 1 x i 3 ▁ k u ' 1 u 1 ▁ a 1 c h i 1 ▁ n d i 4 ▁ k u 4 u ( 4 ) = a 2 ▁ s a 4 b i 4 ▁ n d i 4 ▁ k u 4 u n 4 ▁ s a 1 b i 4 ▁ t a n 3 ▁ n u 4 m i 2 4 ▁ b a 1 x i 3 ▁ k a 3 n a ( 3 ) = e 3 , ▁ t u 3 k u 3 ▁ n i 3 ▁ s a 3 k a n 4 ▁ j i 4 t u ( 3 ) = e 4 ▁ x a ' 1 a 4 = e 2 ▁ j i ' 4 i n 4 ▁ l í q u i d o ."
Ni1-ndi'3i3 ji13tu(3)=e4 xa'1a4=e2 ji'4in4 líquido kan4 tan3 xa143 ke3e3 yo3ko4=a2 ña1a4 tan3 xa143 kwa'1a3=e2 ndi3xi4 nda'3a4=e3.,▁Ni 1- ndi '3 i 3 ▁ji 13 tu (3)= e 4 ▁xa '1 a 4= e 2 ▁ji '4 in 4 ▁lí q uido ▁kan 4 ▁tan 3 ▁xa 143 ▁ke 3 e 3 ▁yo 3 ko 4= a 2 ▁ña 1 a 4 ▁tan 3 ▁xa 143 ▁kwa '1 a 3= e 2 ▁ndi 3 xi 4 ▁nda '3 a 4= e 3.,▁Ni 1- ndi '3 i 3 ▁ji 1 3 tu (3)= e 4 ▁xa '1 a 4= e 2 ▁ji '4 in 4 ▁lí q uido ▁kan 4 ▁tan 3 ▁xa 143 ▁ke 3 e 3 ▁yo 3 ko 4= a 2 ▁ña 1 a 4 ▁tan 3 ▁xa 143 ▁kwa '1 a 3= e 2 ▁ndi 3 xi 4 ▁nda '3 a 4= e 3.,Ni1ndi'3i3ji13tu(3) e4xa'1a4 e2ji'4in4líquidokan4tan3xa143ke3e3yo3ko4 a2ña1a4tan3xa143kwa'1a3 e2ndi3xi4nda'3a4 e3.,▁ N i 1 - n d i ' 3 i 3 ▁ j i 1 3 t u ( 3 ) = e 4 ▁ x a ' 1 a 4 = e 2 ▁ j i ' 4 i n 4 ▁ l í q u i d o ▁ k a n 4 ▁ t a n 3 ▁ x a 1 4 3 ▁ k e 3 e 3 ▁ y o 3 k o 4 = a 2 ▁ ñ a 1 a 4 ▁ t a n 3 ▁ x a 1 4 3 ▁ k w a ' 1 a 3 = e 2 ▁ n d i 3 x i 4 ▁ n d a ' 3 a 4 = e 3 .
O4ra2 ni1-xa'1a3=e2 ndi3xi4 ja1 i4yo2 ndi3xi4=a2 ja1 xu4xa3 ndi3xi4=a2 tu4u2=e4 xa1 i3nda14=e2 yo'4o4 i3nda14=e2 kan4 chi4chi13 tan3 ki3xa3a(4)=e4 nda3-ka'1nu(1)=e4 ya1 kan4 tan3,▁ O 4 ra 2 ▁ni 1- xa '1 a 3= e 2 ▁ndi 3 xi 4 ▁ja 1 ▁i 4 yo 2 ▁ndi 3 xi 4= a 2 ▁ja 1 ▁xu 4 xa 3 ▁ndi 3 xi 4= a 2 ▁tu 4 u 2= e 4 ▁xa 1 ▁i 3 nda 14= e 2 ▁yo '4 o 4 ▁i 3 nda 14= e 2 ▁kan 4 ▁chi 4 chi 13 ▁tan 3 ▁ki 3 xa 3 a (4)= e 4 ▁nda 3- ka '1 nu (1)= e 4 ▁ya 1 ▁kan 4 ▁tan 3,▁ O 4 ra 2 ▁ni 1- xa '1 a 3= e 2 ▁ndi 3 xi 4 ▁ja 1 ▁i 4 yo 2 ▁ndi 3 xi 4= a 2 ▁ja 1 ▁xu 4 xa 3 ▁ndi 3 xi 4= a 2 ▁tu 4 u 2= e 4 ▁xa 1 ▁i 3 nda 1 4= e 2 ▁yo '4 o 4 ▁i 3 nda 1 4= e 2 ▁kan 4 ▁chi 4 chi 1 3 ▁tan 3 ▁ki 3 xa 3 a (4)= e 4 ▁nda 3- ka '1 nu (1)= e 4 ▁ya 1 ▁kan 4 ▁tan 3,O4ra2ni1xa'1a3 e2ndi3xi4ja1i4yo2ndi3xi4 a2ja1xu4xa3ndi3xi4 a2tu4u2 e4xa1i3nda14 e2yo'4o4i3nda14 e2kan4chi4chi13tan3ki3xa3a(4) e4nda3ka'1nu(1) e4ya1kan4tan3,▁ O 4 r a 2 ▁ n i 1 - x a ' 1 a 3 = e 2 ▁ n d i 3 x i 4 ▁ j a 1 ▁ i 4 y o 2 ▁ n d i 3 x i 4 = a 2 ▁ j a 1 ▁ x u 4 x a 3 ▁ n d i 3 x i 4 = a 2 ▁ t u 4 u 2 = e 4 ▁ x a 1 ▁ i 3 n d a 1 4 = e 2 ▁ y o ' 4 o 4 ▁ i 3 n d a 1 4 = e 2 ▁ k a n 4 ▁ c h i 4 c h i 1 3 ▁ t a n 3 ▁ k i 3 x a 3 a ( 4 ) = e 4 ▁ n d a 3 - k a ' 1 n u ( 1 ) = e 4 ▁ y a 1 ▁ k a n 4 ▁ t a n 3
"na4 ja1 ni1-ki3xa3a(4)=e4 nda4-ka'1nu(1)=e4=e2 ya1 ja1 i4chi1 ku4u4 ba(3)=e2 kan4 xa1a1 tan3, kwa'1an1 xa1a1 tiem4pu2 ya1 bi3ko4 i3ta2 ndi4 ja1 chi4chi13=a2 chi4chi13 kwa4an2 ndi'3i3 ndi3xi(4)=o4 mi4i4 ba42 i4in(4)=a2 kan4.","▁na 4 ▁ja 1 ▁ni 1- ki 3 xa 3 a (4)= e 4 ▁nda 4- ka '1 nu (1)= e 4= e 2 ▁ya 1 ▁ja 1 ▁i 4 chi 1 ▁ku 4 u 4 ▁ba (3)= e 2 ▁kan 4 ▁xa 1 a 1 ▁tan 3, ▁kwa '1 an 1 ▁xa 1 a 1 ▁tiem 4 pu 2 ▁ya 1 ▁bi 3 ko 4 ▁i 3 ta 2 ▁ndi 4 ▁ja 1 ▁chi 4 chi 13= a 2 ▁chi 4 chi 13 ▁kwa 4 an 2 ▁ndi '3 i 3 ▁ndi 3 xi (4)= o 4 ▁mi 4 i 4 ▁ba 42 ▁i 4 in (4)= a 2 ▁kan 4.","▁na 4 ▁ja 1 ▁ni 1- ki 3 xa 3 a (4)= e 4 ▁nda 4- ka '1 nu (1)= e 4= e 2 ▁ya 1 ▁ja 1 ▁i 4 chi 1 ▁ku 4 u 4 ▁ba (3)= e 2 ▁kan 4 ▁xa 1 a 1 ▁tan 3, ▁kwa '1 an 1 ▁xa 1 a 1 ▁tiem 4 pu 2 ▁ya 1 ▁bi 3 ko 4 ▁i 3 ta 2 ▁ndi 4 ▁ja 1 ▁chi 4 chi 1 3= a 2 ▁chi 4 chi 1 3 ▁kwa 4 an 2 ▁ndi '3 i 3 ▁ndi 3 xi (4)= o 4 ▁mi 4 i 4 ▁ba 4 2 ▁i 4 in (4)= a 2 ▁kan 4.","na4ja1ni1ki3xa3a(4) e4nda4ka'1nu(1) e4 e2ya1ja1i4chi1ku4u4ba(3) e2kan4xa1a1tan3,kwa'1an1xa1a1tiem4pu2ya1bi3ko4i3ta2ndi4ja1chi4chi13 a2chi4chi13kwa4an2ndi'3i3ndi3xi(4) o4mi4i4ba42i4in(4) a2kan4.","▁ n a 4 ▁ j a 1 ▁ n i 1 - k i 3 x a 3 a ( 4 ) = e 4 ▁ n d a 4 - k a ' 1 n u ( 1 ) = e 4 = e 2 ▁ y a 1 ▁ j a 1 ▁ i 4 c h i 1 ▁ k u 4 u 4 ▁ b a ( 3 ) = e 2 ▁ k a n 4 ▁ x a 1 a 1 ▁ t a n 3 , ▁ k w a ' 1 a n 1 ▁ x a 1 a 1 ▁ t i e m 4 p u 2 ▁ y a 1 ▁ b i 3 k o 4 ▁ i 3 t a 2 ▁ n d i 4 ▁ j a 1 ▁ c h i 4 c h i 1 3 = a 2 ▁ c h i 4 c h i 1 3 ▁ k w a 4 a n 2 ▁ n d i ' 3 i 3 ▁ n d i 3 x i ( 4 ) = o 4 ▁ m i 4 i 4 ▁ b a 4 2 ▁ i 4 i n ( 4 ) = a 2 ▁ k a n 4 ."
